cluster,fs,bytes,n_tasks,n_nodes,n_files,write_mean_rate,write_sd_rate,write_mean_time,write_sd_time,stat_mean_rate,stat_sd_rate,stat_mean_time,stat_sd_time,read_mean_rate,read_sd_rate,read_mean_time,read_sd_time,removal_mean_rate,removal_sd_rate,removal_mean_time,removal_sd_time
claix18,beeond,2097152,2,2,1000,914.685,17.392,2.187,0.041,21139.603,2483.924,0.096,0.011,1018.896,15.351,1.963,0.029,9012.708,107.299,0.222,0.003
claix18,beeond,4194304,2,2,1000,546.943,5.121,3.657,0.034,22766.058,3325.038,0.089,0.013,661.904,8.646,3.022,0.039,8789.514,79.931,0.228,0.002
claix18,beeond,8388608,2,2,1000,318.753,7.248,6.277,0.138,21351.183,2168.391,0.095,0.009,350.822,18.538,5.715,0.302,7719.496,659.811,0.261,0.023
claix18,beeond,16777216,2,2,1000,171.579,1.634,11.657,0.110,22716.326,3681.306,0.090,0.013,189.470,6.590,10.568,0.382,3798.339,302.241,0.530,0.043
claix18,beeond,33554432,2,2,1000,89.090,0.571,22.450,0.144,24337.795,4288.683,0.084,0.013,95.332,4.089,21.014,0.898,2170.644,292.604,0.936,0.121
claix18,beeond,67108864,2,2,1000,45.152,0.706,44.304,0.680,24628.665,4826.700,0.084,0.015,49.414,2.262,40.552,1.901,1241.376,161.453,1.635,0.201
claix18,beeond,134217728,2,2,1000,12.525,0.189,159.713,2.418,25076.140,4008.229,0.081,0.011,21.984,3.892,94.006,19.131,667.198,66.757,3.021,0.265
claix18,beeond,268435456,2,2,1000,4.159,0.353,484.282,44.671,25924.455,5141.414,0.080,0.014,3.322,0.538,620.879,131.006,457.777,36.598,4.396,0.372
claix18,beeond,1,4,4,1000,5543.871,426.530,0.725,0.053,52314.924,4557.244,0.077,0.006,8951.397,1048.741,0.452,0.048,10464.761,378.238,0.383,0.013
claix18,beeond,2,4,4,1000,5375.016,348.338,0.747,0.050,50012.924,2628.653,0.080,0.004,8414.665,378.219,0.476,0.021,10337.408,192.670,0.387,0.007
claix18,beeond,4,4,4,1000,5451.679,248.767,0.735,0.035,51217.648,3792.422,0.079,0.006,8086.840,576.006,0.497,0.038,10378.242,224.816,0.386,0.008
claix18,beeond,8,4,4,1000,5410.637,284.258,0.741,0.040,50390.613,3644.818,0.080,0.006,8611.776,565.938,0.466,0.030,10301.027,192.914,0.389,0.007
claix18,beeond,16,4,4,1000,5443.812,451.245,0.740,0.066,50289.952,3088.278,0.080,0.004,8635.440,822.297,0.467,0.045,10377.963,170.990,0.385,0.006
claix18,beeond,32,4,4,1000,5440.111,377.754,0.739,0.052,52847.495,5398.597,0.076,0.007,8722.779,637.599,0.461,0.034,10313.696,134.065,0.388,0.005
claix18,beeond,64,4,4,1000,5436.131,334.662,0.738,0.047,49661.344,2442.381,0.081,0.004,8594.995,631.065,0.468,0.036,10344.835,304.482,0.387,0.011
